央视频道,#genre#
CCTV-1,http://play.kankanlive.com/live/1661761962676984.m3u8
CCTV-1,http://222.81.86.42:8060/hls/ch3/ch3.m3u8
CCTV-1,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8
CCTV-1,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://59.48.75.130:3052/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://123.154.30.252:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://111.74.155.231:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-2,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://123.154.30.252:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://36.249.151.142:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://111.74.155.231:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-4,https://live.goodiptv.club/api/yqgd.php?id=cctv4
CCTV-4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV-4,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000063
CCTV-4,http://123.154.30.252:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://111.74.155.231:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV-5,http://222.240.82.92:9901/tsfile/live/0005_1.m3u8
CCTV-5,http://59.48.75.130:3052/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://123.154.30.252:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5,http://36.249.151.142:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://111.74.155.231:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5+,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3ccdecc7d6e341c1920ad4eac5d82f38/1200.m3u8
CCTV-5+,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000246
CCTV-5+,http://36.249.151.142:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV-6,http://222.240.82.92:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://59.48.75.130:3052/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://123.154.30.252:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7,http://123.154.30.252:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8,http://222.240.82.92:9901/tsfile/live/0008_1.m3u8
CCTV-8,http://36.249.151.142:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://111.74.155.231:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9,http://123.154.30.252:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV-10,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000130
CCTV-10,http://222.240.82.92:9901/tsfile/live/0010_1.m3u8
CCTV-10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8?%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E6%99%B4%E5%9B%AD%E3%80%91%E6%95%B4%E7%90%86%E5%88%86%E4%BA%AB
CCTV-11,http://123.154.30.252:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11,https://live.goodiptv.club/api/yqgd.php?id=cctv11
CCTV-11,http://1.195.111.251:11190/tsfile/live/0011_1.m3u8
CCTV-11,http://59.48.75.130:3052/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8
CCTV-12,http://222.240.82.92:9901/tsfile/live/0012_1.m3u8
CCTV-12,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8?%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E6%99%B4%E5%9B%AD%E3%80%91%E6%95%B4%E7%90%86%E5%88%86%E4%BA%AB
CCTV-12,http://59.48.75.130:3052/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://36.249.151.142:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,https://live.goodiptv.club/api/yqgd.php?id=cctv13
CCTV-13,http://1.195.111.251:11190/tsfile/live/0013_1.m3u8
CCTV-13,http://222.240.82.92:9901/tsfile/live/0013_1.m3u8
CCTV-13,http://hls.hsrtv.cn/live/hsyouxian.m3u8
CCTV-13,http://59.48.75.130:3052/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://123.154.30.252:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14,http://123.154.30.252:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000133
CCTV-15,http://123.154.30.252:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15,http://36.249.151.142:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16-4K,http://php.jdshipin.com:8880/bst2.php?id=cctv16hd4k/15000000
CCTV16-4K,http://cdn.jdshipin.com:8880/ysp.php?id=cctv16-4k

CCTV-17,http://36.249.151.142:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,https://live.goodiptv.club/api/yqgd.php?id=cctv17
CCTV-17,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000204

CCTV4K,http://159.75.85.63:5679/cctv4k.php
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV4K,http://php.jdshipin.com:8880/PLTV/iptv.php?id=cctv4k
CCTV4K,http://php.jdshipin.com:8880/bst.php?id=cctv4k/15000000
CCTV4K,http://cdn.jdshipin.com:8880/ysp.php?id=cctv4k
CCTV8K超高清,https://tv.cry33.com/ys4k.php?id=8k


央视频道HD,#genre#
CCTV-1HD,https://live.goodiptv.club/api/yqgd.php?id=cctv1hd
CCTV-2HD,https://live.goodiptv.club/api/yqgd.php?id=cctv2hd
CCTV-3HD,https://live.goodiptv.club/api/yqgd.php?id=cctv3hd
CCTV-5HD,https://live.goodiptv.club/api/yqgd.php?id=cctv5hd
CCTV-5+HD,https://live.goodiptv.club/api/yqgd.php?id=cctv5p
CCTV-6HD,https://live.goodiptv.club/api/yqgd.php?id=cctv6hd
CCTV-7HD,https://live.goodiptv.club/api/yqgd.php?id=cctv7hd
CCTV-8HD,https://live.goodiptv.club/api/yqgd.php?id=cctv8hd
CCTV-9HD,https://live.goodiptv.club/api/yqgd.php?id=cctv9hd
CCTV-9HD,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CCTV-10HD,https://live.goodiptv.club/api/yqgd.php?id=cctv10hd
CCTV-12HD,https://live.goodiptv.club/api/yqgd.php?id=cctv12hd
CCTV-14HD,https://live.goodiptv.club/api/yqgd.php?id=cctv14hd
CCTV-16HD,https://live.goodiptv.club/api/yqgd.php?id=cctv16hd


常看频道,#genre#
广西桂林新闻,https://pull.gltvs.com/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
广西桂林新闻,https://pull.gltvs.com:443/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
广西影视,http://116.9.204.242:9901/tsfile/live/0124_1.m3u8
广西都市,http://116.9.204.242:9901/tsfile/live/1002_1.m3u8
广西新闻,http://116.9.204.242:9901/tsfile/live/1001_1.m3u8
广西综艺,http://116.9.204.242:9901/tsfile/live/0125_1.m3u8
广西卫视,https://live.goodiptv.club/api/yqgd.php?id=gxws
广西罗城综合,http://111.12.75.177:9100/lctvlive/lch.m3u8
广西北海新闻,http://rtmp.gdlive.gdmain.com/live/09em4xbl.flv
广西北海新闻,http://rtmp.gdlive.gdmain.com/live/09em4xbl.m3u8
广西灌阳新闻综合,https://lives.myun.tv:443/live/lx1reyg0.m3u8
广西资源电视台,https://rtmp.gdlive.gdmain.com:443/live/5z4yjgm0.m3u8
广西宾阳综合,https://rtmp.gdlive.gdmain.com:443/live/lgmzjyml.m3u8
广西巴马综合,https://rtmp.gdlive.gdmain.com:443/live/028exb80.m3u8
广西都安综合,https://lives.myun.tv:443/live/09em42ol.m3u8
广西东兰综合,https://rtmp.gdlive.gdmain.com:443/live/09aony85.m3u8


纯高清台,#genre#
欢笑剧场4K[3840x2160],http://php.jdshipin.com:8880/bst2.php?id=hxjc4k/15000000
北京纪实8K[7680x4320],http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
苏州4K频道[3840x2160],http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
赣州综合[1920x1080],http://115.150.63.77:9902/tsfile/live/0001_50.m3u8?key=txiptv
凤凰中文[1920x1080],http://php.jdshipin.com:8880/jydx.php?id=37
凤凰资讯[1920x1080],http://php.jdshipin.com:8880/jydx.php?id=36
武术世界[1920x1080],http://live.dxhmt.cn:9080/live/yshnpre.m3u8
武术世界[1280x720],http://php.jdshipin.com:8880/hntv.php?id=wspd
文物宝库[1920x1080],http://live.dxhmt.cn:9080/19903718786/503136115d714e6796389709a5c74f77.m3u8
文物宝库[1280x720],http://php.jdshipin.com:8880/hntv.php?id=wwbk
新视觉[1920x1080],http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000249
翡翠台[1920x1080],http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct
翡翠台[1920x1080],http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct3
明珠台[1920x1080],http://php.jdshipin.com:8880/PLTV/iptv.php?id=mzt2
J2[1920x1080],http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2
VIUTV[1920x1080],http://php.jdshipin.com:8880/PLTV/iptv.php?id=viutv
澳门莲花[1920x1080],http://php.jdshipin.com:8880/amlh.php
环球电视,http://live.cgtn.com/500/prog_index.m3u8
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
