枫斗专享①线,#genre#
各位兄弟帮忙关注下,https://yc.wya6.cn/tz/sjm1.php
直播中出现的扫码千万不要扫,https://vd3.bdstatic.com/mda-mknba5i60je0d2dn/sc/cae_h264/1637654844357830568/mda-mknba5i60je0d2dn.mp4
千万不要扫不是本接口所为,https://vd3.bdstatic.com/mda-mknba5i60je0d2dn/sc/cae_h264/1637654844357830568/mda-mknba5i60je0d2dn.mp4


CCTV1(关注抖音→茶有百味香),video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=11200132825562653886&toc_style_id=feeds_only_back&share_to=copy_url&track_id=c3e89ea6-77d8-4230-89a3-a492aa16ee4c
CCTV1(关注抖音→茶有百味香),video://http://www.guangbomi.com/tv/zy/cctv1.html
CCTV1(关注抖音→茶有百味香),video://https://www.hndyjyfw.gov.cn/livePlay.html?u=1
CCTV2(关注抖音→茶有百味香),video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=12030532124776958103&toc_style_id=feeds_only_back&share_to=copy_url&track_id=8ff44314-c7a7-4241-be6e-11a7b7224db4
CCTV3(关注抖音→茶有百味香),video://https://www.hndyjyfw.gov.cn/livePlay.html?u=2
CCTV4(关注抖音→茶有百味香),video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=10620168294224708952&toc_style_id=feeds_only_back&share_to=copy_url&track_id=7f4e2027-e822-49f3-88b1-2ffe00919f92
CCTV5(关注抖音→茶有百味香),video://https://www.hndyjyfw.gov.cn/livePlay.html?u=3
CCTV6(关注抖音→茶有百味香),video://https://www.hndyjyfw.gov.cn/livePlay.html?u=4
CCTV7(关注抖音→茶有百味香),video://https://www.hndyjyfw.gov.cn/livePlay.html?u=5
CCTV9(关注抖音→茶有百味香),video://https://www.hndyjyfw.gov.cn/livePlay.html?u=6
CCTV10(关注抖音→茶有百味香),video://https://www.hndyjyfw.gov.cn/livePlay.html?u=7
CCTV11(关注抖音→茶有百味香),video://https://www.hndyjyfw.gov.cn/livePlay.html?u=8
CCTV12(关注抖音→茶有百味香),video://https://www.hndyjyfw.gov.cn/livePlay.html?u=9
